"","Name","number.bets","percentage.win","profit.loss","N.purch","rank.profit","rank.npurc","puntaje_total","rank_total"
"1","Juan Graciano 3",6,0.666666666666667,0.354911617016134,62,0.968468468468468,0.977477477477477,1.94594594594595,100
"2","Juan Londono 3",7,0.428571428571429,0.241993073870997,60,0.932432432432432,0.966216216216216,1.89864864864865,100
"3","Mr Posada 1",6,0.333333333333333,0.184350724635372,71,0.898648648648649,0.995495495495496,1.89414414414414,100
"4","Alejandro Perez 2",5,0.8,0.538197648513217,51,0.995495495495496,0.880630630630631,1.87612612612613,99
"5","Andres Graciano 4",6,0.333333333333333,0.145062621882227,65,0.867117117117117,0.988738738738739,1.85585585585586,99
"6","Juan Perez 5",5,0.6,0.507924788765808,50,0.993243243243243,0.871621621621622,1.86486486486486,99
"7","Mr Uribe 5",5,0.8,0.268926563645272,52,0.945945945945946,0.896396396396396,1.84234234234234,99
"8","Andrea Chip 2",5,0.6,0.169559479824291,54,0.887387387387387,0.918918918918919,1.80630630630631,98
"9","Andres Hassan 4",6,0.333333333333333,0.207593133561253,52,0.916666666666667,0.896396396396396,1.81306306306306,98
"10","Fernando Uribe 2",6,0.333333333333333,0.118330492074482,61,0.844594594594595,0.968468468468468,1.81306306306306,98
"11","Mateo Molina 1",5,0.4,0.209142378357823,54,0.918918918918919,0.918918918918919,1.83783783783784,98
"12","Sebastian Molina 2",4,0.5,0.315280253132826,49,0.961711711711712,0.851351351351351,1.81306306306306,98
"13","Alejandro Uribe 2",4,0.5,0.329750797398396,48,0.963963963963964,0.831081081081081,1.79504504504505,97
"14","Andrea Hassan 1",5,0.4,0.190991646657704,51,0.905405405405405,0.880630630630631,1.78603603603604,97
"15","Manuela Uribe 2",4,0.75,0.472989031278644,46,0.988738738738739,0.79954954954955,1.78828828828829,97
"16","Mateo Jaramillo 5",5,0.4,0.0984175315028766,60,0.81981981981982,0.966216216216216,1.78603603603604,97
"17","Alejandro Perez 1",5,0.4,0.183854231630592,50,0.896396396396396,0.871621621621622,1.76801801801802,96
"18","Andrea Chip 5",4,0.75,0.425448564140682,46,0.984234234234234,0.79954954954955,1.78378378378378,96
"19","Andres Hassan 1",5,0.4,0.225442555846834,47,0.925675675675676,0.815315315315315,1.74099099099099,96
"20","Sebastian Jaramillo 4",4,0.75,0.452796420431535,45,0.986486486486487,0.779279279279279,1.76576576576577,96
"21","Alejandro Hassan 5",5,0.6,0.0901610355638267,56,0.79954954954955,0.936936936936937,1.73648648648649,95
"22","Andrea Perez 3",6,0.333333333333333,0.060152894687503,59,0.75,0.959459459459459,1.70945945945946,95
"23","Andrea Uribe 2",5,0.6,0.0877084592312842,54,0.795045045045045,0.918918918918919,1.71396396396396,95
"24","Andres Chip 5",4,0.75,0.232922004246896,45,0.93018018018018,0.779279279279279,1.70945945945946,95
"25","Mateo Posada 2",5,0.4,0.0736190456028587,56,0.77027027027027,0.936936936936937,1.70720720720721,95
"26","Andres Molina 1",4,0.25,0.18736286838686,46,0.903153153153153,0.79954954954955,1.7027027027027,94
"27","Juan Ramirez 2",5,0.6,0.0282194238327547,73,0.693693693693694,1,1.69369369369369,94
"28","Manuela Ramirez 3",5,0.6,0.281937293767399,43,0.95045045045045,0.745495495495496,1.69594594594595,94
"29","Mr Uribe 3",4,0.5,0.225867427961307,44,0.927927927927928,0.763513513513513,1.69144144144144,94
"30","Alejandro Jaramillo 5",4,0.5,0.162521353046972,46,0.882882882882883,0.79954954954955,1.68243243243243,93
"31","Andres Molina 2",5,0.4,0.154745106068895,46,0.878378378378378,0.79954954954955,1.67792792792793,93
"32","Mateo Jaramillo 2",4,0.5,0.192781491103557,44,0.907657657657658,0.763513513513513,1.67117117117117,93
"33","Mr Hassan 4",6,0.5,0.0487374705004269,55,0.731981981981982,0.925675675675676,1.65765765765766,93
"34","Sebastian Graciano 2",4,0.5,0.100344264254542,47,0.822072072072072,0.815315315315315,1.63738738738739,93
"35","Andrea Molina 4",4,0.5,0.193106212001823,41,0.90990990990991,0.695945945945946,1.60585585585586,92
"36","Fernando Jaramillo 4",4,0.5,0.167982839845374,43,0.885135135135135,0.745495495495496,1.63063063063063,92
"37","Manuela Graciano 2",5,0.2,0.0777782565810969,49,0.779279279279279,0.851351351351351,1.63063063063063,92
