"","Name","number.bets","percentage.win","profit.loss","N.purch","rank.profit","rank.npurc","puntaje_total","rank_total"
"1","Fernando Jaramillo 3",165,0.333333333333333,7.80601372241713,1653,1,0.888888888888889,1.88888888888889,100
"2","Manuela Graciano 4",163,0.312883435582822,4.6756222906685,1691,0.995555555555556,0.946666666666667,1.94222222222222,100
"3","Sebastian Chip 3",168,0.345238095238095,4.31244876629487,1745,0.991111111111111,0.997777777777778,1.98888888888889,100
"4","Juan Londono 5",165,0.284848484848485,0.82730042503074,1655,0.942222222222222,0.895555555555556,1.83777777777778,99
"5","Manuela Jaramillo 1",177,0.31638418079096,1.40336649513227,1646,0.962222222222222,0.864444444444444,1.82666666666667,99
"6","Mr Chip 5",176,0.278409090909091,-0.132312625624202,1736,0.835555555555556,0.991111111111111,1.82666666666667,99
"7","Mr Hassan 3",169,0.313609467455621,0.503925388391701,1686,0.917777777777778,0.942222222222222,1.86,99
"8","Alejandro Molina 1",158,0.329113924050633,2.05291601710065,1621,0.975555555555556,0.797777777777778,1.77333333333333,98
"9","Andrea Jaramillo 5",161,0.31055900621118,0.142425750933826,1667,0.884444444444444,0.922222222222222,1.80666666666667,98
"10","Andres Jaramillo 3",162,0.283950617283951,0.595116371643937,1635,0.926666666666667,0.84,1.76666666666667,98
"11","Juan Posada 1",165,0.339393939393939,0.773640114090759,1648,0.935555555555556,0.871111111111111,1.80666666666667,98
"12","Mateo Graciano 3",164,0.280487804878049,0.125994651297114,1662,0.877777777777778,0.908888888888889,1.78666666666667,98
"13","Andres Londono 4",159,0.339622641509434,1.80452818106553,1611,0.971111111111111,0.757777777777778,1.72888888888889,97
"14","Fernando Posada 1",174,0.264367816091954,-0.347036820857726,1716,0.757777777777778,0.982222222222222,1.74,97
"15","Juan Graciano 1",166,0.355421686746988,1.32465677686492,1614,0.957777777777778,0.771111111111111,1.72888888888889,97
"16","Sebastian Hassan 4",164,0.280487804878049,-0.283508030372302,1711,0.791111111111111,0.973333333333333,1.76444444444444,97
"17","Fernando Graciano 4",160,0.3,-0.194399007032266,1642,0.817777777777778,0.857777777777778,1.67555555555556,96
"18","Juan Hassan 1",161,0.322981366459627,0.30585598272686,1625,0.9,0.806666666666667,1.70666666666667,96
"19","Mateo Molina 3",172,0.325581395348837,-0.399415090603355,1745,0.726666666666667,0.997777777777778,1.72444444444444,96
"20","Mateo Perez 3",160,0.325,1.98267862310714,1600,0.973333333333333,0.708888888888889,1.68222222222222,96
"21","Sebastian Posada 3",167,0.263473053892216,-0.0754105978889423,1633,0.853333333333333,0.833333333333333,1.68666666666667,96
